日期,净值增长量
2017/9/13,0.42
2017/9/12,-0.28
2017/9/11,-0.76
2017/9/8,0.42
2017/9/7,0.21
2017/9/6,-0.14
2017/9/5,0.35
2017/9/4,0.49
2017/9/1,0.42
2017/8/31,-0.49
2017/8/30,-0.21
2017/8/29,-0.77
2017/8/28,0.28
2017/8/25,0.56
2017/8/24,-0.77
2017/8/23,-0.62
2017/8/22,-0.07
2017/8/21,0.7
2017/8/18,0.91
2017/8/17,0.14
2017/8/16,-0.7
2017/8/15,0.14
2017/8/14,1.35
2017/8/11,-0.42
2017/8/10,0.5
2017/8/9,1.59
2017/8/8,0.22
2017/8/7,1.17
2017/8/4,-0.22
2017/8/3,-0.58
2017/8/2,-0.86
2017/8/1,0.36
2017/7/31,0.95
2017/7/28,0.96
2017/7/27,0.15
2017/7/26,-0.95
2017/7/25,0
2017/7/24,0.07
2017/7/21,0.15
2017/7/20,0.29
2017/7/19,1.49
2017/7/18,-0.22
2017/7/17,-2.32
2017/7/14,-0.07
2017/7/13,0.58
2017/7/12,-0.65
2017/7/11,-0.07
2017/7/10,-1.07
2017/7/7,-0.71
2017/7/6,-0.78
2017/7/5,0.64
2017/7/4,-1.19
2017/7/3,-0.56
2017/6/30,0.56
2017/6/29,0.85
2017/6/28,-1.12
2017/6/27,0.42
2017/6/26,1.57
2017/6/23,0.79
2017/6/22,-1.42
2017/6/21,1.29
2017/6/20,-0.71
2017/6/19,0.86
2017/6/16,-0.22
2017/6/15,0.22
2017/6/14,-1.14
2017/6/13,0.36
2017/6/12,0.72
2017/6/9,0.29
2017/6/8,0.8
2017/6/7,1.55
2017/6/6,0.67
2017/6/5,-0.37
2017/6/2,-0.59
2017/6/1,0.15
2017/5/31,0.44
2017/5/26,-0.44
2017/5/25,-0.07
2017/5/24,0.3
2017/5/23,-0.44
2017/5/22,-0.15
2017/5/19,-0.07
2017/5/18,0.07
2017/5/17,-0.73
2017/5/16,1.4
2017/5/15,1.58
2017/5/12,0.53
2017/5/11,0.45
2017/5/10,-0.75
2017/5/9,-0.37
2017/5/8,-0.52
2017/5/5,-0.37
2017/5/4,-0.37
2017/5/3,-0.15
2017/5/2,-0.07
2017/4/28,-0.51
2017/4/27,0.81
2017/4/26,-0.3
2017/4/25,0.3
2017/4/24,-1.03
2017/4/21,-0.29
2017/4/20,1.71
2017/4/19,0.22
2017/4/18,0.75
2017/4/17,-0.08
2017/4/14,-0.89
2017/4/13,0.82
2017/4/12,-0.15
2017/4/11,-0.45
2017/4/10,-0.96
2017/4/7,-0.22
2017/4/6,0.22
2017/4/5,0.59
2017/3/31,0.6
2017/3/30,-0.67
2017/3/29,-0.52
2017/3/28,-0.15
2017/3/27,-0.8
2017/3/24,0.15
2017/3/23,0
2017/3/22,1.03
2017/3/21,1.27
2017/3/20,0.83
2017/3/17,-0.38
2017/3/16,0.23
2017/3/15,0.61
2017/3/14,0.15
2017/3/13,0.53
2017/3/10,-0.15
2017/3/9,-0.76
2017/3/8,-0.3
2017/3/7,0.53
2017/3/6,0.38
2017/3/3,0.31
2017/3/2,-0.76
2017/3/1,0.15
2017/2/28,-0.3
2017/2/27,-0.9
2017/2/24,-0.37
2017/2/23,2.45
2017/2/22,0
2017/2/21,0.69
2017/2/20,0.85
2017/2/17,-0.54
2017/2/16,0.23
2017/2/15,-1
2017/2/14,0
2017/2/13,0.77
2017/2/10,-0.31
2017/2/9,0.23
2017/2/8,0.39
2017/2/7,-0.08
2017/2/6,0.62
2017/2/3,0
2017/1/26,0.71
2017/1/25,0.71
2017/1/24,-0.16
2017/1/23,0.32
2017/1/20,0.96
2017/1/19,0.08
2017/1/18,0.16
2017/1/17,0.32
2017/1/16,-0.8
2017/1/13,-0.87
2017/1/12,-1.4
2017/1/11,-0.85
2017/1/10,-0.15
2017/1/9,1.01
2017/1/6,-0.7
2017/1/5,-0.15
2017/1/4,0.54
2017/1/3,0.94
2016/12/30,0.47
2016/12/29,-0.63
2016/12/28,0
2016/12/27,0
2016/12/26,0.16
2016/12/23,-0.78
2016/12/22,-0.23
2016/12/21,0.7
2016/12/20,-0.39
2016/12/19,0
2016/12/16,0.94
2016/12/15,-0.47
2016/12/14,-0.85
2016/12/13,0.23
2016/12/12,-3.45
2016/12/9,-0.22
2016/12/8,-0.52
2016/12/7,0.6
2016/12/6,0.38
2016/12/5,0.53
2016/12/2,-0.9
2016/12/1,0.23
2016/11/30,0.08
2016/11/29,-0.67
2016/11/28,0.07
2016/11/25,0.3
2016/11/24,-0.22
2016/11/23,-0.52
2016/11/22,0.37
2016/11/21,0.15
2016/11/18,-0.37
2016/11/17,-0.07
2016/11/16,0.22
2016/11/15,0.68
2016/11/14,0.23
2016/11/11,-0.38
2016/11/10,0.83
2016/11/9,-0.53
2016/11/8,0.45
2016/11/7,-0.75
2016/11/4,-0.45
2016/11/3,0.3
2016/11/2,0
2016/11/1,0.68
2016/10/31,0.08
2016/10/28,-0.53
2016/10/27,-0.15
2016/10/26,-0.07
2016/10/25,0
2016/10/24,0.53
2016/10/21,-0.38
2016/10/20,-0.37
2016/10/19,-0.07
2016/10/18,0.98
2016/10/17,-0.08
2016/10/14,0.08
2016/10/13,-0.23
2016/10/12,-0.15
2016/10/11,0.38
2016/10/10,2.24
2016/9/30,0.31
2016/9/29,0.54
2016/9/28,-0.23
2016/9/27,0.39
2016/9/26,-1.38
2016/9/23,-0.15
2016/9/22,0.38
2016/9/21,0.31
2016/9/20,-0.38
2016/9/19,1.4
2016/9/14,-0.47
2016/9/13,0.16
2016/9/12,-1.98
2016/9/9,-0.3
2016/9/8,-0.15
2016/9/7,-0.15
2016/9/6,0.92
2016/9/5,0.31
2016/9/2,-0.69
2016/9/1,-0.83
2016/8/31,-0.3
2016/8/30,0.23
2016/8/29,0.08
2016/8/26,0.46
2016/8/25,-0.3
2016/8/24,0.38
2016/8/23,0.23
2016/8/22,-0.08
2016/8/19,0.54
2016/8/18,-0.3
2016/8/17,0.08
2016/8/16,0
2016/8/15,2.18
2016/8/12,0.47
2016/8/11,-1.24
2016/8/10,-0.08
2016/8/9,0.7
2016/8/8,0.86
2016/8/5,-0.62
2016/8/4,0.08
2016/8/3,0
2016/8/2,0.39
2016/8/1,-1.54
2016/7/29,-0.38
2016/7/28,0.7
2016/7/27,-3.15
2016/7/26,1.44
2016/7/25,0.31
2016/7/22,-1.21
2016/7/21,0.15
2016/7/20,-0.15
2016/7/19,-0.23
2016/7/18,0.08
2016/7/15,-0.08
2016/7/14,-0.67
2016/7/13,-0.22
2016/7/12,2.05
2016/7/11,-0.6
2016/7/8,-0.68
2016/7/7,1.06
2016/7/6,1.07
2016/7/5,-0.31
2016/7/4,1.47
2016/7/1,-0.39
2016/6/30,-0.08
2016/6/29,-0.15
2016/6/28,1.97
2016/6/27,2.17
2016/6/24,-0.48
2016/6/23,-0.48
2016/6/22,1.37
2016/6/21,-1.59
2016/6/20,-0.4
2016/6/17,2.02
2016/6/16,-0.48
2016/6/15,2.81
2016/6/14,0.75
2016/6/13,-4.22
2016/6/8,-1.41
2016/6/7,0.16
2016/6/6,-0.47
2016/6/3,1.67
2016/6/2,0.64
2016/6/1,0.48
2016/5/31,4.1
2016/5/30,-0.58
2016/5/27,-0.99
2016/5/26,0.08
2016/5/25,-0.82
2016/5/24,-1.05
2016/5/23,1.48
2016/5/20,0.08
2016/5/19,-0.08
2016/5/18,-2.48
2016/5/17,1.05
2016/5/16,1.23
2016/5/13,-0.81
2016/5/12,0
2016/5/11,0.24
2016/5/10,-0.08
2016/5/9,-3.23
2016/5/6,-3.72
2016/5/5,0.61
2016/5/4,0.15
2016/5/3,2.83
2016/4/29,-0.24
2016/4/28,-0.23
2016/4/27,-0.54
2016/4/26,1.18
2016/4/25,0.08
2016/4/22,1.28
2016/4/21,-0.71
2016/4/20,-4.68
2016/4/19,0
2016/4/18,-1.49
2016/4/15,-0.52
2016/4/14,0.3
2016/4/13,0.97
2016/4/12,-1.33
2016/4/11,3.05
2016/4/8,-0.83
2016/4/7,-1.42
2016/4/6,0.9
2016/4/5,2.39
